Rating,Result,,
4.2,Excellent,,
4.1,Excellent,,
4.1,Excellent,,
3.7,Good,,
4,Excellent,,
3.6,Good,,
3.9,Good,,
4.6,Excellent,,
4.5,Excellent,,
3.8,Good,,
4.5,Excellent,,
3.3,Good,,
4.1,Excellent,,
3.1,Good,,
4.4,Excellent,,
3.8,Good,,
3.5,Good,,
3.3,Good,,
4,Excellent,,
4.1,Excellent,,
1,Bad,,
4.3,Excellent,,
4.6,Excellent,,
3.7,Good,,
3.8,Good,,
4.3,Excellent,,
4.3,Excellent,,
3.3,Good,,
4.2,Excellent,,
4.2,Excellent,,
4,Excellent,,
4.3,Excellent,,
3.3,Good,,
4.3,Excellent,,
3.1,Good,,
3.7,Good,,
4.2,Excellent,,
4.5,Excellent,,
4.3,Excellent,,
4.3,Excellent,,
4.3,Excellent,,
4.1,Excellent,,
3.8,Good,,
3.8,Good,,
4.6,Excellent,,
3.5,Good,,
4.1,Excellent,,
4,Excellent,,
4.2,Excellent,,
4.2,Excellent,,
3.1,Good,,
4.1,Excellent,,
4.4,Excellent,,
4.4,Excellent,,
4.2,Excellent,,
4.1,Excellent,,
4.4,Excellent,,
3.2,Good,,
3.5,Good,,
4.3,Excellent,,
4.4,Excellent,,
4.4,Excellent,,
4.4,Excellent,,
4.4,Excellent,,
4,Excellent,,
3.9,Good,,
4.2,Excellent,,
4.5,Excellent,,
3.4,Good,,
4.4,Excellent,,
4.1,Excellent,,
4.3,Excellent,,
3.8,Good,,
3.8,Good,,
3.7,Good,,
3.3,Good,,
4.6,Excellent,,
4.3,Excellent,,
4.2,Excellent,,
2.5,Bad,,
3.9,Good,,
4.4,Excellent,,
5,Excellent,,
3.5,Good,,
4.3,Excellent,,
4,Excellent,,
3.9,Good,,
4.1,Excellent,,
5,Excellent,,
3.8,Good,,
5,Excellent,,
4.5,Excellent,,
4.5,Excellent,,
4.3,Excellent,,
4.3,Excellent,,
3,Good,,
3.9,Good,,
3.7,Good,,
4.1,Excellent,,
4.1,Excellent,,
3.9,Good,,
4.2,Excellent,,
4.1,Excellent,,
3,Good,,
4.7,Excellent,,
4.3,Excellent,,
3.5,Good,,
4.2,Excellent,,
4.2,Excellent,,
4.5,Excellent,,
4.4,Excellent,,
4.7,Excellent,,
4.1,Excellent,,
4.1,Excellent,,
3.4,Good,,
4.1,Excellent,,
4.2,Excellent,,
3.4,Good,,
4.3,Excellent,,
4,Excellent,,
4.2,Excellent,,
3.7,Good,,
4,Excellent,,
4.6,Excellent,,
4.4,Excellent,,
3.7,Good,,
4.4,Excellent,,
4.1,Excellent,,
3.3,Good,,
4,Excellent,,
3.9,Good,,
4.4,Excellent,,
4.4,Excellent,,
4.6,Excellent,,
4.5,Excellent,,
4.4,Excellent,,
4,Excellent,,
4.2,Excellent,,
3.8,Good,,
3.8,Good,,
4.8,Excellent,,
4.1,Excellent,,
4.1,Excellent,,
4.4,Excellent,,
3.9,Good,,
3.6,Good,,
3,Good,,
3,Good,,
3.8,Good,,
3.7,Good,,
1.9,Bad,,
